Date,day,camping0T1,camping0T2,camping0T3,camping0T2P,camping1T1,camping1T2,camping1T3,camping1T2P,camping2T1,camping2T2,camping2T3,camping2T2P,camping3T1,camping3T2,camping3T3,camping3T2P,camping4T1,camping4T2,camping4T3,camping4T2P,camping5T1,camping5T2,camping5T3,camping5T2P,camping6T1,camping6T2,camping6T3,camping6T2P,camping7T1,camping7T2,camping7T3,camping7T2P,camping8T1,camping8T2,camping8T3,camping8T2P,entrance0T1,entrance0T2,entrance0T3,entrance0T4,entrance0T5,entrance0T6,entrance1T1,entrance1T2,entrance1T3,entrance1T4,entrance1T5,entrance1T6,entrance2T1,entrance2T2,entrance2T3,entrance2T4,entrance2T5,entrance2T6,entrance3T1,entrance3T2,entrance3T3,entrance3T4,entrance3T5,entrance3T6,entrance4T1,entrance4T2,entrance4T3,entrance4T4,entrance4T5,entrance4T6,gate0T2P,gate1T2P,gate2T2P,gate3T4,gate3T2P,gate4T2P,gate5T4,gate5T2P,gate6T4,gate6T2P,gate7T2P,gate8T2P,general-gate0T1,general-gate0T2,general-gate0T3,general-gate0T2P,general-gate1T1,general-gate1T2,general-gate1T3,general-gate1T4,general-gate1T5,general-gate1T6,general-gate1T2P,general-gate2T1,general-gate2T2,general-gate2T3,general-gate2T4,general-gate2T5,general-gate2T6,general-gate2T2P,general-gate3T1,general-gate3T2,general-gate3T3,general-gate3T2P,general-gate4T1,general-gate4T2,general-gate4T3,general-gate4T4,general-gate4T5,general-gate4T6,general-gate4T2P,general-gate5T1,general-gate5T2,general-gate5T3,general-gate5T4,general-gate5T5,general-gate5T6,general-gate5T2P,general-gate6T1,general-gate6T2,general-gate6T3,general-gate6T2P,general-gate7T1,general-gate7T2,general-gate7T3,general-gate7T4,general-gate7T5,general-gate7T6,general-gate7T2P,ranger-baseT2P,ranger-stop0T1,ranger-stop0T2,ranger-stop0T3,ranger-stop0T4,ranger-stop0T5,ranger-stop0T6,ranger-stop0T2P,ranger-stop1T1,ranger-stop1T2P,ranger-stop2T1,ranger-stop2T2,ranger-stop2T3,ranger-stop2T4,ranger-stop2T5,ranger-stop2T6,ranger-stop2T2P,ranger-stop3T4,ranger-stop3T2P,ranger-stop4T2P,ranger-stop5T2P,ranger-stop6T4,ranger-stop6T2P,ranger-stop7T2P
5/1/2015,1,1,,1,,,,,,,,4,,7,1,,,,,,,1,1,,,4,,,,2,,,,1,,,3,4,1,1,,,,4,2,1,2,1,,3,4,5,2,1,,8,1,1,3,2,,8,4,3,5,2,,,,,,2,4,,6,,,,8,,,,,11,4,4,5,1,,2,11,4,4,5,1,,4,,,,1,8,4,3,2,,,2,11,2,1,4,1,,7,2,,,,13,4,4,2,1,,2,8,11,4,4,5,1,,5,,,11,4,4,5,1,,3,,2,2,4,,6,
5/2/2015,2,1,,1,,,,,,2,,1,,1,2,2,,,1,1,,3,,,,1,,2,,,1,,,,,2,1,3,3,4,,1,,5,2,2,,1,1,4,3,1,,2,,5,2,5,,2,1,2,2,3,,4,,,,2,,4,2,,6,,6,6,6,,,,,8,4,6,,2,,2,8,4,6,,2,,2,,,,1,6,5,6,,1,,2,3,2,5,,2,,5,,1,,,10,5,7,,1,1,3,6,8,4,6,,2,,3,,2,8,4,6,,2,,3,,4,2,2,,8,6
5/3/2015,3,3,,1,,,,,,,3,,,1,,,,2,,1,,5,1,,2,,,2,,,,1,,1,,1,1,6,6,1,4,,,4,4,5,1,2,,4,3,3,1,,,5,6,2,1,2,,5,2,5,1,,,,,,,4,2,,6,,4,4,6,,,,,8,5,4,2,,,2,8,5,4,2,,,,1,,,1,8,3,4,1,,,2,5,2,3,1,,,3,,,1,,12,6,5,1,2,,2,6,8,5,4,2,,,2,,,8,5,4,2,,,2,,4,2,2,,6,4
5/4/2015,4,1,1,2,,2,,,,,1,,,2,2,2,,,,,,1,,,,1,,,,,,1,,1,1,1,2,9,1,1,1,,1,5,3,2,2,,1,2,3,1,2,2,2,7,3,2,,1,,1,2,2,3,1,,,,2,,8,4,,8,,6,6,8,2,,,,7,6,5,3,1,2,2,7,6,5,3,1,2,2,,,,2,6,4,5,2,,1,2,2,2,3,2,,,8,,,1,,9,5,6,2,,1,3,8,7,6,5,3,1,2,3,,2,7,6,5,3,1,2,3,,8,2,4,,9,6
5/5/2015,5,3,,,,,,,,2,1,1,,,,,,2,,,,1,1,1,,4,,,,,1,,,1,,,2,3,8,1,1,,,3,3,1,1,,,5,3,1,,,,4,7,3,3,,,10,2,2,1,,,,,,2,4,4,2,4,2,,,6,,,,,8,4,3,1,,,,8,4,3,1,,,2,,,,2,8,3,2,,,,,7,2,2,3,,,4,,1,,,11,5,3,1,,,,6,8,4,3,1,,,2,,,8,4,3,1,,,,2,4,,4,2,4,
5/6/2015,6,1,,1,,,,2,,,1,,,4,2,,,,,,,6,,,,2,2,2,,1,1,,,2,1,,1,2,8,3,1,,1,8,5,2,3,1,,9,4,1,1,1,,7,4,3,3,1,1,4,4,2,,1,,,,2,,2,2,,4,,2,2,4,,,2,,14,8,3,1,2,,,14,8,3,1,2,,,,1,,1,7,8,2,1,1,,,5,6,1,,1,,1,1,1,,,11,8,3,3,1,,3,4,14,8,3,1,2,,,,2,14,8,3,1,2,,,,2,2,2,,4,2
5/7/2015,7,,,,,,,,,2,1,,,1,4,,,,1,2,,2,,1,,2,,1,,1,,,,2,,1,,6,3,2,5,,1,4,4,,2,,1,7,4,2,2,,1,1,5,2,4,,1,6,2,1,1,,,,,2,,2,,,1,,1,,2,,,,,6,6,1,3,,1,1,6,6,1,3,,1,1,,,,,5,5,1,2,,1,1,3,2,1,1,,,1,1,,,,6,10,3,2,,1,3,2,6,6,1,3,,1,1,,2,6,6,1,3,,1,2,,2,2,,,1,
5/8/2015,8,2,,,,4,,,,3,2,,,2,1,,,2,,,,2,3,,,1,2,,,,,,2,,1,,1,5,6,4,,1,,9,5,4,,,,6,7,2,2,1,,6,6,4,,,,5,7,4,2,,,,,2,,6,2,,6,,4,2,8,4,,,,13,9,6,,1,,,13,9,6,,1,,,,1,,1,12,6,3,,,,,5,6,4,,,,5,,,,2,17,9,4,,,,3,8,13,9,6,,1,,,,2,13,9,6,,1,,,,6,2,2,,6,2
5/9/2015,9,,4,,,,,,,1,1,,,2,,,,4,,,,6,,,,4,1,,,1,2,,2,,2,1,,5,6,,2,3,,5,6,2,1,2,,2,4,1,2,,,8,5,,,1,,5,3,2,1,2,,,,2,,,,,2,,2,,6,,,,,11,8,2,3,2,,2,11,8,2,3,2,,2,,,,,10,7,2,1,2,,2,9,2,2,1,2,,2,1,2,,2,16,11,2,1,2,,4,6,11,8,2,3,2,,3,,2,11,8,2,3,2,,3,,,2,,,2,
5/10/2015,10,1,,,,,,,,1,1,,,6,3,,,1,1,,,,2,1,,6,,1,,2,1,,,1,,,2,6,9,,1,2,,1,1,1,2,2,,8,6,1,1,2,1,7,6,,1,,,6,4,,1,2,1,,,4,,6,4,,8,,8,6,8,,,,,13,7,2,,4,,4,13,7,2,,4,,4,1,,,2,6,6,2,1,2,,4,8,2,1,,2,,8,2,1,,,10,8,2,2,2,,8,8,13,7,2,,4,,6,,4,13,7,2,,4,,6,,6,6,4,,10,6
